AT,KARNATAKA,Topup,150,130.5 Talktime,KN,Lifetime,NULL,1,ATP,,,,,,
AT,KERALA,Topup,10,Regular Talktime,KL,unlimited,NULL,1,ATP,,,,,,
AT,KERALA,Topup,20,Regular Talktime,KL,unlimited,NULL,1,ATP,,,,,,
AT,KERALA,Topup,30,Regular Talktime,KL,unlimited,NULL,1,ATP,,,,,,
AT,KERALA,Topup,50,Regular Talktime,KL,unlimited,NULL,1,ATP,,,,,,
AT,KERALA,Topup,90,78.1TT,KL,Unlimited,NULL,1,ATP,,,,,,
AT,KERALA,Topup,110,Regular Talktime,KL,NA,NULL,1,ATP,,,,,,
AT,KERALA,Topup,220,210 TT,KL,Unlimited,NULL,1,ATP,,,,,,
BS,WEST BENGAL & ANDAMAN NIKOBAR,Topup,10,Talktime of Rs. 7.9 on a recharge of Rs. 10,WB,N.A,NULL,10,BGP,,,,,,
BS,WEST BENGAL & ANDAMAN NIKOBAR,Topup,20,Talktime of Rs. 15.8 on a recharge of Rs. 20,WB,N.A,NULL,10,BGP,,,,,,
BS,WEST BENGAL & ANDAMAN NIKOBAR,Topup,30,Talktime of Rs. 23.7 on a recharge of Rs. 30,WB,N.A,NULL,10,BGP,,,,,,
BS,WEST BENGAL & ANDAMAN NIKOBAR,Topup,40,Talktime of Rs. 32.6 on a recharge of Rs. 40,WB,N.A,NULL,10,BGP,,,,,,
BS,WEST BENGAL & ANDAMAN NIKOBAR,Topup,50,Talktime of Rs. 41.5 on a recharge of Rs. 50,WB,N.A,NULL,10,BGP,,,,,,
BS,WEST BENGAL & ANDAMAN NIKOBAR,Full Talktime,100,Regular Talktime,WB,NA,NULL,10,BGP,,,,,,
BS,WEST BENGAL & ANDAMAN NIKOBAR,Topup,200,Talktime of Rs. 177 on a recharge of Rs. 200.,WB,N.A,NULL,10,BGP,,,,,,
BS,WEST BENGAL & ANDAMAN NIKOBAR,Topup,251,Talktime of Rs. 250 on a recharge of Rs. 251,WB,30 days,NULL,10,BGP,,,,,,
BS,UTTAR PRADESH(WEST) & UTTARANCHAL,Topup,10,Talktime of Rs. 7.9 on a recharge of Rs. 10,UW,N.A,NULL,10,BGP,,,,,,
BS,UTTAR PRADESH(WEST) & UTTARANCHAL,Topup,20,Talktime of Rs. 15.8 on a recharge of Rs. 20,UW,N.A,NULL,10,BGP,,,,,,
BS,UTTAR PRADESH(WEST) & UTTARANCHAL,Topup,30,Talktime of Rs. 23.7 on a recharge of Rs. 30,UW,N.A,NULL,10,BGP,,,,,,
BS,UTTAR PRADESH(WEST) & UTTARANCHAL,Topup,40,Talktime of Rs. 32.6 on a recharge of Rs. 40,UW,N.A,NULL,10,BGP,,,,,,
BS,UTTAR PRADESH(WEST) & UTTARANCHAL,Topup,50,Talktime of Rs. 41.5 on a recharge of Rs. 50,UW,N.A,NULL,10,BGP,,,,,,
BS,UTTAR PRADESH(WEST) & UTTARANCHAL,Topup,135,Talktime of Rs. 117.15 on a recharge of Rs. 135.,UW,0 days,NULL,10,BGP,,,,,,
BS,UTTAR PRADESH(WEST) & UTTARANCHAL,Topup,200,Talktime of Rs. 175 on a recharge of Rs. 200,UW,N.A,NULL,10,BGP,,,,,,
BS,UTTAR PRADESH(EAST),Topup,10,Talktime of Rs. 7.9 on a recharge of Rs. 10,UE,N.A,NULL,10,BGP,,,,,,
BS,UTTAR PRADESH(EAST),Topup,20,Talktime of Rs. 15.8 on a recharge of Rs. 20,UE,N.A,NULL,10,BGP,,,,,,
BS,UTTAR PRADESH(EAST),Topup,30,Talktime of Rs. 23.7 on a recharge of Rs. 30,UE,N.A,NULL,10,BGP,,,,,,
BS,UTTAR PRADESH(EAST),Topup,40,Talktime of Rs. 32.6 on a recharge of Rs. 40,UE,N.A,NULL,10,BGP,,,,,,
BS,UTTAR PRADESH(EAST),Topup,50,Talktime of Rs. 41.5 on a recharge of Rs. 50,UE,N.A,NULL,10,BGP,,,,,,
BS,UTTAR PRADESH(EAST),Topup,55,Talktime of Rs. 45.95 on a recharge of Rs. 55,UE,N.A,NULL,10,BGP,,,,,,
BS,UTTAR PRADESH(EAST),Topup,151,Talktime of Rs. 131 on a recharge of Rs. 151,UE,0 days,NULL,10,BGP,,,,,,
BS,UTTAR PRADESH(EAST),Topup,200,Talktime of Rs. 175 on a recharge of Rs. 200,UE,N.A,NULL,10,BGP,,,,,,
BS,UTTAR PRADESH(EAST),Topup,1000,Talktime of Rs. 887 on a recharge of Rs. 1000,UE,N.A,NULL,10,BGP,,,,,,
BS,TAMILNADU,Topup,10,Talktime of Rs. 7.9 on a recharge of Rs. 10,TN,N.A,NULL,10,BGP,,,,,,
BS,TAMILNADU,Topup,20,Talktime of Rs. 15.8 on a recharge of Rs. 20,TN,N.A,NULL,10,BGP,,,,,,
BS,TAMILNADU,Topup,30,Talktime of Rs. 23.7 on a recharge of Rs. 30,TN,N.A,NULL,10,BGP,,,,,,
BS,TAMILNADU,Topup,40,Talktime of Rs. 32.6 on a recharge of Rs. 40,TN,N.A,NULL,10,BGP,,,,,,
BS,TAMILNADU,Topup,50,Talktime of Rs. 41.5 on a recharge of Rs. 50,TN,N.A,NULL,10,BGP,,,,,,
BS,TAMILNADU,Topup,55,Talktime of Rs. 45.95 on a recharge of Rs. 55,TN,N.A,NULL,10,BGP,,,,,,
BS,TAMILNADU,Topup,110,Talktime of Rs. 100 on a recharge of Rs. 110,TN,N.A,NULL,10,BGP,,,,,,
BS,TAMILNADU,Topup,220,Talktime of Rs.195.80 on a recharge of Rs. 220,TN,N.A,NULL,10,BGP,,,,,,
BS,TAMILNADU,Topup,300,Talktime of Rs. 264 on a recharge of Rs. 300,TN,N.A,NULL,10,BGP,,,,,,
BS,RAJASTHAN,Topup,10,Talktime of Rs. 7.9 on a recharge of Rs. 10,RJ,N.A,NULL,10,BGP,,,,,,
BS,RAJASTHAN,Topup,20,Talktime of Rs. 15.8 on a recharge of Rs. 20,RJ,N.A,NULL,10,BGP,,,,,,
BS,RAJASTHAN,Topup,30,Talktime of Rs. 23.7 on a recharge of Rs. 30,RJ,N.A,NULL,10,BGP,,,,,,
BS,RAJASTHAN,Topup,40,Talktime of Rs. 32.6 on a recharge of Rs. 40,RJ,N.A,NULL,10,BGP,,,,,,
BS,RAJASTHAN,Topup,50,Talktime of Rs. 41.5 on a recharge of Rs. 50,RJ,N.A,NULL,10,BGP,,,,,,
BS,RAJASTHAN,Topup,135,Talktime of Rs. 125 on a recharge of Rs. 135,RJ,0 days,NULL,10,BGP,,,,,,
BS,RAJASTHAN,Topup,200,Talktime of Rs. 175 on a recharge of Rs. 200,RJ,N.A,NULL,10,BGP,,,,,,
BS,RAJASTHAN,Topup,300,Talktime of Rs. 264 on a recharge of Rs. 300,RJ,N.A,NULL,10,BGP,,,,,,
BS,PUNJAB,Topup,10,Talktime of Rs. 7.9 on a recharge of Rs. 10,PB,N.A,NULL,10,BGP,,,,,,
BS,PUNJAB,Topup,20,Talktime of Rs. 15.8 on a recharge of Rs. 20,PB,N.A,NULL,10,BGP,,,,,,
BS,PUNJAB,Topup,30,Talktime of Rs. 23.7 on a recharge of Rs. 30,PB,N.A,NULL,10,BGP,,,,,,
BS,PUNJAB,Topup,40,Talktime of Rs. 32.6 on a recharge of Rs. 40,PB,N.A,NULL,10,BGP,,,,,,
BS,PUNJAB,Topup,50,Talktime of Rs. 41.5 on a recharge of Rs. 50,PB,N.A,NULL,10,BGP,,,,,,
